jar,bytes,status,namespaces,namespace_count,has_en_us,has_ko_kr,classification,error
ars_unification-1.2.18.jar,105429,ok,ars_unification,1,True,False,en_only,
arseng-2.1.1-beta.jar,123229,ok,arseng,1,True,False,en_only,
artifacts-neoforge-13.2.1.jar,1030252,ok,artifacts,1,True,True,en_and_ko,
athena-neoforge-1.21.1-4.0.6.jar,99944,ok,,0,False,False,no_target_language_file,
atlas_api-1.21.1-1.2.0.jar,28419,ok,,0,False,False,no_target_language_file,
attributefix-neoforge-1.21.1-21.1.3.jar,19809,ok,,0,False,False,no_target_language_file,
Auroras-1.21-1.6.2.jar,2116122,ok,auroras,1,True,False,en_only,
balm-neoforge-1.21.1-21.0.59.jar,735066,ok,balm,1,True,False,en_only,
baubley-heart-canisters-1.21.1-1.4.1.jar,172210,ok,bhc,1,True,True,en_and_ko,
bellsandwhistles-0.4.7-1.21.1.jar,193619,ok,bellsandwhistles,1,True,True,en_and_ko,
better-compatability-checker-neoforge-21.1.8.jar,25085,ok,bcc,1,True,False,en_only,
BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar,98641,ok,betteradvancements,1,True,False,en_only,
bibliobiomes-1.21.1-1.6.1.jar,20181755,ok,bibliobiomes,1,True,False,en_only,
bibliocraft-1.21.1-1.6.5.jar,5471083,ok,bibliocraft,1,True,False,en_only,
bibliowoods-1.21.1-1.6.2.jar,23234306,ok,bibliowoods,1,True,False,en_only,
blockui-1.0.211-1.21.1-snapshot.jar,468147,ok,blockui,1,True,False,en_only,
blueflame-1.21.1-1.1.1.jar,17921,ok,,0,False,False,no_target_language_file,
bookshelf-neoforge-1.21.1-21.1.81.jar,328813,ok,bookshelf,1,True,False,en_only,
botanypots-neoforge-1.21.1-21.1.44.jar,1068816,ok,botanypots,1,True,False,en_only,
botanypotsmystical-neoforge-1.21.1-21.1.12.jar,89696,ok,,0,False,False,no_target_language_file,
botanytrees-neoforge-1.21.1-21.1.7.jar,341853,ok,,0,False,False,no_target_language_file,
BrandonsCore-1.21.1-3.2.1.309.jar,1385131,ok,brandonscore,1,True,False,en_only,
BridgingMod-2.6.2+1.21.1.neoforge-release.jar,5924051,ok,bridgingmod,1,True,False,en_only,
buildinggadgets2-1.3.9.jar,3858597,ok,buildinggadgets2,1,True,False,en_only,
bwncr-neoforge-1.21.1-3.20.4.jar,28573,ok,bwncr,1,True,False,en_only,
Byzantine-1.21.1-51.jar,16077350,ok,,0,False,False,no_target_language_file,
cabletiers-neoforge-1.21.1-0.6.12.jar,1513534,ok,cabletiers,1,True,False,en_only,
caelus-neoforge-7.0.1+1.21.1.jar,50235,ok,caelus,1,True,True,en_and_ko,
camol-1.21.1-0.3.1.jar,62188,ok,camol,1,True,False,en_only,
catjammies-1.21-1.7.1.jar,8784,ok,,0,False,False,no_target_language_file,
cc-tweaked-1.21.1-forge-1.113.1.jar,3094722,ok,computercraft,1,True,True,en_and_ko,
cc-tweaked-1.21.1-forge-1.120.0.jar,3126946,ok,computercraft,1,True,True,en_and_ko,
charginggadgets-1.14.1.jar,67206,ok,charginggadgets,1,True,True,en_and_ko,
chipped-neoforge-1.21.1-4.0.2.jar,15020578,ok,chipped,1,True,False,en_only,
chisel-neoforge-2.0.1+mc1.21.1.jar,8268524,ok,chisel,1,True,False,en_only,
chromacarvings-1.21.1-0.2.0.jar,268974,ok,chromacarvings,1,True,False,en_only,
cleanswing-1.9.jar,8449,ok,,0,False,False,no_target_language_file,
cloth-config-15.0.140-neoforge.jar,1163890,ok,cloth-config2,1,True,True,en_and_ko,
CloudGlass-1.21.1-1.0.2.jar,81228,ok,cloudglass,1,True,False,en_only,
Clumps-neoforge-1.21.1-19.0.0.1.jar,18382,ok,,0,False,False,no_target_language_file,
cobblegengalore-1.21.1-0.2.8.jar,87631,ok,cobblegengalore,1,True,False,en_only,
cobweb-neoforge-1.21-1.4.0.jar,410948,ok,,0,False,False,no_target_language_file,
CodeChickenLib-1.21.1-4.6.1.526.jar,1538347,ok,codechickenlib,1,True,False,en_only,
colorfulhearts-neoforge-1.21.1-10.5.9.jar,156588,ok,colorfulhearts,1,True,False,en_only,
colorwheel-neoforge-1.2.9+mc1.21.1.jar,398004,ok,colorwheel,1,True,False,en_only,
colorwheel_patcher-neoforge-1.0.5+mc1.21.1.jar,210569,ok,,0,False,False,no_target_language_file,
comforts-neoforge-9.0.5+1.21.1.jar,422658,ok,comforts,1,True,True,en_and_ko,
commoncapabilities-1.21.1-neoforge-2.11.5.jar,283956,ok,commoncapabilities,1,True,True,en_and_ko,
compactmachines-neoforge-7.0.81.jar,684420,ok,compactmachines,1,True,False,en_only,
connectedglass-1.1.14-neoforge-mc1.21.jar,819976,ok,connectedglass,1,True,True,en_and_ko,
connectivity-1.21.1-7.6.jar,114165,ok,,0,False,False,no_target_language_file,
ConstructionSticks-1.21.1-1.4.1.jar,264441,ok,constructionstick,1,True,False,en_only,
Controlling-neoforge-1.21.1-19.0.5.jar,77555,ok,controlling,1,True,True,en_and_ko,
cookingforblockheads-neoforge-1.21.1-21.1.23.jar,1265987,ok,cookingforblockheads,1,True,True,en_and_ko,
Corgilib-NeoForge-1.21.1-5.0.0.9.jar,309763,ok,,0,False,False,no_target_language_file,
cosmeticarmorreworked-1.21.1-v1-neoforge.jar,92722,ok,cosmeticarmorreworked,1,True,True,en_and_ko,
crafting_on_a_stick-1.21.0.4.jar,78661,ok,crafting_on_a_stick,1,True,True,en_and_ko,
craftingtweaks-neoforge-1.21.1-21.1.10.jar,256064,ok,craftingtweaks,1,True,False,en_only,
CrashAssistant-neoforge-1.20.6-1.21.4-1.11.10.jar,3161762,ok,,0,False,False,no_target_language_file,
crashutilities-9.0.4.jar,225310,ok,crashutilities,1,True,False,en_only,
create-1.21.1-6.0.10.jar,19123767,ok,create,1,True,True,en_and_ko,
create-enchantment-industry-2.5.0-preview-alpha1.jar,1559350,ok,create_dragons_plus;create_enchantment_industry,2,True,False,en_only,
create_aquatic_ambitions-1.21.1-2.0.2.jar,1041906,ok,create_aquatic_ambitions,1,True,False,en_only,
create_hypertube-0.5.0-ALPHA-NEOFORGE.jar,499740,ok,create_hypertube,1,True,True,en_and_ko,
createaddition-1.6.0.jar,1661802,ok,createaddition,1,True,True,en_and_ko,
CreateDragonsPlus-1.11.2b.jar,1006723,ok,create_dragons_plus,1,True,False,en_only,
CreeperOverhaul-neoforge-1.21.1-4.0.6.jar,1185088,ok,creeperoverhaul,1,True,True,en_and_ko,
