jar,namespace,en_path,ko_path,en_status,ko_status,en_keys,ko_keys,shared_keys,missing_in_ko,ko_only_keys,error
not_enough_glyphs-1.21.1-4.6.1.jar,not_enough_glyphs,assets/not_enough_glyphs/lang/en_us.json,,ok,missing,249,0,0,249,0,
notenoughanimations-neoforge-1.12.4-mc1.21.1.jar,notenoughanimations,assets/notenoughanimations/lang/en_us.json,,ok,missing,107,0,0,107,0,
observable-5.4.4.jar,observable,assets/observable/lang/en_us.json,,ok,missing,34,0,0,34,0,
occultism-1.21.1-neoforge-1.224.4.jar,occultism,assets/occultism/lang/en_us.json,assets/occultism/lang/ko_kr.json,ok,ok,3587,3587,3587,0,0,
Oh-The-Biomes-Weve-Gone-NeoForge-2.6.0.jar,biomeswevegone,assets/biomeswevegone/lang/en_us.json,,ok,missing,1169,0,0,1169,0,
oracle_index-neoforge-1.3.1.jar,oracle_index,assets/oracle_index/lang/en_us.json,,ok,missing,17,0,0,17,0,
oritech-neoforge-1.21.1-1.2.11.jar,oritech,assets/oritech/lang/en_us.json,,ok,missing,1256,0,0,1256,0,
owo-lib-neoforge-0.12.15.5-beta.1+1.21.jar,owo,assets/owo/lang/en_us.json,,ok,missing,25,0,0,25,0,
pamhc2crops-NEOFORGE-1.21.1-1.0.9.jar,pamhc2crops,assets/pamhc2crops/lang/en_us.json,,ok,missing,320,0,0,320,0,
pamhc2foodcore-NEOFORGE-1.21.1-1.0.4.jar,pamhc2foodcore,assets/pamhc2foodcore/lang/en_us.json,,ok,missing,203,0,0,203,0,
pamhc2foodextended-NEOFORGE-1.21.1-1.0.0.jar,pamhc2foodextended,assets/pamhc2foodextended/lang/en_us.json,,ok,missing,872,0,0,872,0,
pamhc2trees-NEOFORGE-1.21.1-1.0.9.jar,pamhc2trees,assets/pamhc2trees/lang/en_us.json,,ok,missing,158,0,0,158,0,
Patchouli-1.21.1-93-NEOFORGE.jar,patchouli,assets/patchouli/lang/en_us.json,assets/patchouli/lang/ko_kr.json,ok,ok,92,87,87,5,0,
pipez-neoforge-1.21.1-1.2.31.jar,pipez,assets/pipez/lang/en_us.json,assets/pipez/lang/ko_kr.json,ok,ok,83,83,83,0,0,
Placebo-1.21.1-9.9.2.jar,placebo,assets/placebo/lang/en_us.json,assets/placebo/lang/ko_kr.json,ok,ok,6,6,6,0,0,
pneumaticcraft-repressurized-8.2.23+mc1.21.1.jar,pneumaticcraft,assets/pneumaticcraft/lang/en_us.json,,ok,missing,2271,0,0,2271,0,
pocketstorage-1.2.5+1.21.1-b3.jar,pocketstorage,assets/pocketstorage/lang/en_us.json,,ok,missing,28,0,0,28,0,
